"","Aindex","Aminus","Aplus","d(A)","d(Adual)","dualIndex"
"211",211,6,6,2,2,159
"212",212,6,6,2,3,158
"213",213,6,6,3,2,203
"214",214,6,6,2,3,180
"215",215,6,6,2,2,234
"216",216,6,6,2,3,28
"217",217,6,6,2,2,155
"218",218,6,6,2,2,232
"219",219,6,6,2,2,230
"220",220,6,6,2,3,208
"221",221,6,6,2,2,178
"222",222,6,6,2,2,200
"223",223,6,6,2,3,31
"224",224,6,6,2,2,233
"225",225,6,6,2,2,245
"226",226,6,6,2,3,244
"227",227,6,6,2,2,324
"228",228,6,6,2,2,304
"229",229,6,6,2,2,320
"230",230,6,6,2,2,219
"231",231,6,6,2,2,307
"232",232,6,6,2,2,218
"233",233,6,6,2,2,224
"234",234,6,6,2,2,215
"235",235,6,6,2,2,186
"236",236,6,6,2,2,210
"237",237,6,6,2,2,199
"238",238,6,6,2,3,185
"239",239,6,6,3,2,327
"240",240,6,6,3,2,305
"241",241,6,6,3,2,318
"242",242,6,6,3,2,309
"243",243,6,6,2,3,198
"244",244,6,6,3,2,226
"245",245,6,6,2,2,225
"246",246,6,6,3,2,205
"247",247,6,6,2,2,169
"248",248,6,6,2,2,204
"249",249,6,6,3,2,201
"250",250,6,6,2,3,168
"251",251,6,6,2,2,146
"252",252,6,6,2,2,144
"253",253,6,6,2,2,145
"254",254,6,6,3,2,141
"255",255,6,6,2,2,140
"256",256,6,6,2,2,138
"257",257,6,6,2,2,131
"258",258,6,6,2,2,137
"259",259,6,6,3,2,124
"260",260,6,6,2,2,123
"261",261,6,6,2,2,102
"262",262,6,6,2,3,122
"263",263,6,6,2,3,101
"264",264,6,6,3,2,92
"265",265,6,6,2,2,90
"266",266,6,6,2,2,84
"267",267,6,6,2,2,88
"268",268,6,6,2,3,82
"269",269,6,6,2,3,19
"270",270,6,6,2,2,75
"271",271,6,6,2,2,76
"272",272,4,4,2,4,5
"273",273,4,6,2,3,62
"274",274,5,5,2,4,8
"275",275,5,5,2,3,10
"276",276,5,5,2,3,41
"277",277,5,6,2,2,85
"278",278,5,6,2,3,100
"279",279,5,6,2,3,73
"280",280,5,6,2,3,93
"281",281,5,6,2,3,72
"282",282,5,6,2,3,66
"283",283,5,6,2,3,18
"284",284,5,6,2,3,65
"285",285,5,6,2,2,77
"286",286,6,5,2,3,46
"287",287,6,5,2,3,11
"288",288,6,5,2,3,48
"289",289,6,6,2,2,152
"290",290,6,5,2,3,53
"291",291,6,6,2,2,153
"292",292,6,6,2,3,187
"293",293,6,6,2,3,133
"294",294,6,6,2,3,91
"295",295,6,6,2,3,162
"296",296,6,6,2,3,157
"297",297,6,6,2,2,149
"298",298,6,6,2,4,17
"299",299,6,6,2,3,161
"300",300,6,6,2,2,151
"301",301,6,6,2,3,29
"302",302,6,6,2,3,156
"303",303,6,6,2,2,150
"304",304,6,6,2,2,228
"305",305,6,6,2,3,240
"306",306,6,6,2,3,192
"307",307,6,6,2,2,231
"308",308,6,6,2,3,190
"309",309,6,6,2,3,242
"310",310,6,6,2,3,142
"311",311,6,6,2,2,148
"312",312,6,6,2,3,136
"313",313,6,6,2,3,184
"314",314,6,6,2,3,177
"315",315,6,6,2,3,132
"316",316,6,6,2,3,189
"317",317,6,6,2,3,32
"318",318,6,6,2,3,241
"319",319,6,6,2,3,27
"320",320,6,6,2,2,229
"321",321,6,6,2,3,188
"322",322,6,6,2,2,154
"323",323,6,6,2,2,323
"324",324,6,6,2,2,227
"325",325,6,6,2,2,191
"326",326,6,6,2,2,326
"327",327,6,6,2,3,239
"328",328,6,6,2,3,130
"329",329,6,6,2,3,139
"330",330,6,6,2,2,206
"331",331,6,6,2,3,183
"332",332,6,6,2,3,171
"333",333,6,6,2,3,26
"334",334,6,6,2,2,147
"335",335,6,6,2,3,135
"336",336,6,6,2,2,128
"337",337,6,6,2,3,127
"338",338,6,6,3,3,338
"339",339,6,6,2,3,202
"340",340,6,6,2,3,179
"341",341,6,6,2,3,118
"342",342,6,6,2,3,116
"343",343,6,6,2,3,176
"344",344,6,6,2,3,126
"345",345,6,6,2,3,129
"346",346,6,6,2,2,173
"347",347,6,6,2,3,121
"348",348,6,6,2,3,170
"349",349,6,6,2,3,89
"350",350,6,6,2,3,25
"351",351,6,6,2,3,86
"352",352,6,6,2,4,24
"353",353,6,6,2,2,107
"354",354,6,6,2,3,106
"355",355,6,6,2,3,125
"356",356,6,6,2,3,113
"357",357,6,6,2,2,134
"358",358,6,6,2,3,112
"359",359,6,6,2,2,172
"360",360,6,6,2,2,120
"361",361,6,6,2,3,119
"362",362,6,6,2,3,175
"363",363,6,6,2,3,174
"364",364,6,6,2,3,117
"365",365,6,6,2,3,105
"366",366,6,6,2,3,95
"367",367,6,6,2,3,115
"368",368,6,6,2,3,104
"369",369,6,6,2,3,94
"370",370,6,6,2,3,70
"371",371,6,6,2,3,83
"372",372,6,6,2,3,23
"373",373,6,6,2,3,98
"374",374,6,6,2,3,87
"375",375,6,6,2,3,69
"376",376,6,6,2,3,103
"377",377,6,6,2,3,80
"378",378,6,6,2,3,78
"379",379,6,6,2,4,22
"380",380,6,6,2,2,99
"381",381,6,6,2,3,97
"382",382,6,6,2,2,114
"383",383,6,6,2,3,68
"384",384,6,6,2,4,15
"385",385,6,6,2,3,20
"386",386,6,6,2,3,81
"387",387,6,6,2,3,79
"388",388,5,5,2,5,7
"389",389,6,6,2,4,67
"390",390,6,6,2,5,14
"391",391,6,6,2,4,16
"392",392,6,6,2,4,21
"393",393,6,6,2,3,96
"394",394,6,6,2,6,13
